,X,h,corr,obs,p,dist,avg_FP
217,217,5.5,0.1,1000,500,T,0.006977
218,218,2.5,0.8,50,50,Normal,0.07948
219,219,2.5,0.1,1000,2000,Normal,0.167153
220,220,2.5,0.1,1000,2000,T,0.111395
221,221,2.5,0.8,1000,500,Lognormal,0.137322
222,222,5.5,0.8,1000,500,T,0.009179
223,223,2.5,0.8,50,50,Lognormal,0.15804
224,224,5.5,0.8,1000,2000,Normal,0.045789
225,225,5.5,0.8,1000,2000,Lognormal,0.100367
226,1,3.850742936,0.116271491,271,1983,Normal,0.107597786
227,2,3.220942716,0.106568436,196,1362,Lognormal,0.034168367
228,3,4.138430908,0.260899193,448,1957,T,0.046651786
229,4,3.49602518,0.295782736,499,1999,Normal,0.151691383
230,5,3.361603947,0.351921617,347,1646,Lognormal,0.04989049
231,6,3.839105501,0.300321845,440,1633,T,0.055915909
232,7,3.014661584,0.12950957,467,1651,Lognormal,0.043914347
233,8,3.556707677,0.111496638,370,1501,T,0.052683784
234,9,2.567098405,0.102090217,403,1282,Normal,0.14692804
235,10,2.500868263,0.226599798,213,1511,Lognormal,0.085995305
236,11,3.055875978,0.216799766,274,1728,T,0.081609489
237,12,2.632840435,0.212186281,182,1334,Normal,0.184873626
238,13,4.300485921,0.230802773,983,1989,Lognormal,0.014162767
239,14,4.458315258,0.102562729,690,1778,Normal,0.078156522
240,15,3.632459406,0.142202518,777,1964,T,0.054945946
241,16,3.303471873,0.13408321,639,1318,Normal,0.126153365
242,17,3.843830674,0.139928284,718,1435,Lognormal,0.014438719
243,18,4.22335648,0.192121571,669,1374,T,0.03519133
244,19,2.588250419,0.118440728,543,1910,Lognormal,0.069766114
245,20,2.51680021,0.257195329,487,1710,Normal,0.203314168
246,21,3.267345809,0.180991434,601,1678,T,0.068980033
247,22,3.466745555,0.280673757,706,1493,Lognormal,0.03282153
248,23,3.044377259,0.458666988,595,1293,Normal,0.163915966
249,24,3.311737343,0.319395864,780,1583,T,0.076619231
250,25,2.883686439,0.130962898,917,1864,Lognormal,0.050158124
251,26,2.551650578,0.221920021,808,1770,Normal,0.198751238
252,27,2.613385198,0.271314854,751,1973,T,0.115083888
253,28,3.006330257,0.598600995,792,1735,T,0.122776515
254,29,2.941721378,0.534573952,731,1609,Normal,0.169004104
255,30,3.214118784,0.543622603,545,1981,Lognormal,0.104477064
256,31,2.683808089,0.560920391,967,1954,Lognormal,0.137318511
257,32,2.833754417,0.364486689,877,1983,Normal,0.1861813
258,33,2.71049627,0.413393872,683,1622,T,0.119579795
259,34,3.192570699,0.414446128,800,1951,Lognormal,0.0713375
260,35,4.178295996,0.342512853,925,1907,Normal,0.120078919
261,36,3.809126182,0.324912213,683,1941,T,0.062165447
262,37,3.159265353,0.460551862,858,1725,T,0.099944056
263,38,3.686940063,0.435692677,837,1903,Lognormal,0.050941458
264,39,4.068191651,0.478666402,813,1993,Normal,0.117890529
265,40,3.648076082,0.782520156,678,1468,Lognormal,0.150634218
266,41,2.637316731,0.649793648,631,1384,Normal,0.176484945
267,42,2.526884611,0.731416978,659,1332,T,0.161368741
268,43,3.281264436,0.659190222,710,1926,Lognormal,0.13195493
269,44,2.701410499,0.784808638,799,1825,T,0.164525657
270,45,2.65426568,0.672008381,907,2000,Normal,0.183084895
271,46,3.52389677,0.621384191,551,1124,Lognormal,0.072030853
272,47,3.296130758,0.509734565,574,1513,Normal,0.148059233
273,48,3.569461014,0.424937858,742,1556,T,0.075703504
274,49,4.576717056,0.610059751,740,1986,Normal,0.088640541
275,50,4.727432297,0.568921879,654,1415,Lognormal,0.028925076
276,51,4.297822317,0.470228102,709,1650,T,0.055404795
277,52,4.117712579,0.751806575,761,1595,T,0.081667543
278,53,3.829049217,0.648707091,895,1860,Lognormal,0.093698324
279,54,3.892724593,0.774759929,641,1877,Normal,0.101680187
280,55,2.58460043,0.464764595,350,1551,Lognormal,0.115945714
281,56,2.952392966,0.308752111,416,1525,Normal,0.175891827
282,57,2.682412094,0.286836002,304,1437,T,0.105032895
283,58,3.103032396,0.355966484,256,1937,Normal,0.168484375
284,59,2.535608135,0.337491898,409,1886,Lognormal,0.102432763
285,60,2.669686399,0.44062456,458,1691,T,0.125133188
286,61,3.087587931,0.527037146,200,1487,Normal,0.15969
287,62,2.653445516,0.582619027,289,1599,Lognormal,0.146508651
288,63,2.907292133,0.6127458,361,1946,T,0.13568144
289,64,3.470627809,0.511871502,401,1961,T,0.094139651
290,65,3.42716147,0.541494101,216,1715,Normal,0.143069444
291,66,3.697430943,0.390050305,252,1682,Lognormal,0.044829365
292,67,3.479269791,0.422862692,433,971,T,0.068625866
293,68,2.610277819,0.587553361,489,1193,Lognormal,0.12592229
294,69,3.111864655,0.387545148,477,1051,Normal,0.160023061
295,70,3.25443744,0.435112953,284,1146,T,0.082630282
296,71,2.999006456,0.382983925,336,752,Normal,0.159443452
297,72,2.519863147,0.492842875,181,1126,Lognormal,0.118657459
298,73,2.624280601,0.794763627,363,898,T,0.144360882
299,74,2.533161974,0.667791968,129,803,Lognormal,0.170457364
300,75,2.783274663,0.767745365,245,1036,Normal,0.147653061
301,76,3.421942234,0.720182702,430,1479,Lognormal,0.142437209
302,77,3.139696335,0.781375829,382,1106,T,0.116905759
303,78,2.679132194,0.708938117,546,1232,Normal,0.165291209
304,79,2.898835712,0.792186276,187,1417,T,0.14502139
305,80,2.948903484,0.768774641,473,1974,Lognormal,0.214572939
306,81,2.916688591,0.683712313,508,1752,Normal,0.161360236
307,82,5.484020824,0.591547942,79,548,Normal,0.037708861
308,83,4.780508574,0.799540144,70,492,Lognormal,0.126
309,84,4.89865703,0.756804342,152,344,T,0.013427632
310,85,5.461708984,0.793050312,144,790,Normal,0.022416667
311,86,5.046670917,0.788141991,423,963,T,0.034326241
312,87,5.208849873,0.680149537,146,1147,Lognormal,0.063445205
313,88,4.326790956,0.611561703,167,1062,T,0.055251497
314,89,4.274729474,0.77990617,184,843,Lognormal,0.123016304
315,90,4.808336731,0.694449425,224,931,Normal,0.052955357
316,91,3.78468981,0.793878436,487,1065,Normal,0.082595483
317,92,4.595685182,0.791705513,597,1619,Lognormal,0.125058626
318,93,4.426794989,0.725375803,620,1554,T,0.068717742
319,94,4.002900255,0.702907974,294,1965,T,0.09172449
320,95,3.949865558,0.658694587,415,1700,Lognormal,0.09793253
321,96,4.133268288,0.62611378,383,1566,Normal,0.09902611
322,97,4.176976197,0.727163638,205,1175,T,0.068546341
323,98,4.58332468,0.7347224,376,1361,Lognormal,0.093941489
324,99,4.346176634,0.776080968,303,1343,Normal,0.072052805
325,100,3.545069291,0.699925524,273,1073,Lognormal,0.115373626
326,101,3.335240005,0.627345162,180,1379,Normal,0.136811111
327,102,3.776245868,0.765923902,225,1639,T,0.099151111
328,103,5.425281718,0.799701119,455,1937,Lognormal,0.125230769
329,104,4.790049369,0.705315811,394,1727,T,0.060370558
330,105,4.531903712,0.758209299,419,1953,Normal,0.07823389
331,106,5.439083917,0.524641597,410,1769,T,0.035226829
332,107,4.438476225,0.588031248,243,1911,Lognormal,0.068666667
333,108,4.518580914,0.667841046,344,1781,Normal,0.084127907
334,109,5.050189016,0.666632653,219,1552,T,0.048849315
335,110,5.392170143,0.640380258,190,1430,Lognormal,0.0474
336,111,4.683030814,0.652715808,256,1456,Normal,0.073523438
337,112,5.451424877,0.601160801,563,1160,Lognormal,0.014264654
338,113,4.858707833,0.660766695,451,1333,Normal,0.064062084
339,114,5.337828281,0.755685065,527,1292,T,0.038208729
340,115,5.406308976,0.544325469,372,1245,Normal,0.058884409
341,116,4.669306885,0.595745411,463,1028,T,0.041412527
342,117,5.060613996,0.528582492,472,1089,Lognormal,0.011209746
343,118,4.851638048,0.394064934,728,1509,T,0.034847527
344,119,5.498782681,0.537091452,626,1361,Lognormal,0.010960064
345,120,5.355297558,0.633350665,651,1698,Normal,0.057331797
346,121,4.733993879,0.78715735,523,1994,Normal,0.068720841
347,122,4.911352631,0.686624672,802,1605,Lognormal,0.056928928
348,123,4.93339078,0.742687986,609,1922,T,0.061643678
349,124,5.472831698,0.588416487,833,1680,Normal,0.058845138
350,125,5.375469614,0.721582896,933,1963,T,0.050006431
351,126,4.798928162,0.550317832,783,1932,Lognormal,0.037200511
352,127,4.49162339,0.371174746,817,1673,T,0.043362301
353,128,5.463222836,0.309950328,620,1968,Lognormal,0.005566129
354,129,5.003465151,0.306140631,758,1798,Normal,0.091055409
355,130,5.43482973,0.208940057,795,1871,Normal,0.077633962
356,131,5.272762978,0.10826351,975,1971,T,0.019162051
357,132,4.735574897,0.270776366,860,1774,Lognormal,0.008463953
